EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11W0-0000-0287-Y,D4_GKM_BL6_BL8,GKM_Pool_Block_6_und_Block_8,,11XGKM-P-------6,Active,,,,Generation,W
11W0-0000-0297-U,WEA_SALZGITTER,WEA Windpark Salzgitter,,11XVWKRAFTWERK-G,Active,,,,Generation,W
11W0-0000-0340-T,GUD-LPZ-NORD_,HKW Nord,,,Active,,,,Production Unit,W
11W0-0000-0344-H,GUD_SUED_GT31,Wolfsburg GuD Süd Gasturbine 31,,11XVOLKSWAGEN-1T,Active,,,,Generation,W
11W0-0000-0345-E,GUD_SUED_GT32,Wolfsburg GuD Süd Gasturbine 32,,11XVOLKSWAGEN-1T,Active,,,,Generation,W
11W0-0000-0346-B,GUD_SUED_DT,Wolfsburg GuD Süd Dampfturbine,,11XVOLKSWAGEN-1T,Active,,,,Generation,W
11W0-0000-0349-2,BHKW-JUNKERSDORF,BHKW-JUNKERSDORF,,11XRHEINENER-AG7,Active,,,,Generation,W
11W0-0000-0350-P,BHKW-MERHEIM,BHKW-MERHEIM,,11XRHEINENER-AG7,Active,,,,Generation,W
11W0-0000-0351-M,MERKENICH-B4,MERKENICH-B4,,11XRHEINENER-AG7,Active,,,,Generation,W
11W0-0000-0352-J,NIEHL-GTS,GTs HKW Niehl,,11XRHEINENER-AG7,Active,,,,Generation,W
11W0-0000-0353-G,WP_HOCHFELD,WP Hochfeld,,,Active,,,,Generation,W
11W0-0000-0356-7,LINDEN_GKL_GUD,Linden GKL GuD,,11XSWHANNOVERAG3,Active,,,,Generation Unit,W
11W0-0000-0373-8,HOHESEE_OFFSH1,Hohe_See-Erzeugung1,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0374-5,HOHESEE_OFFSH2,Hohe_See-Erzeugung2,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0375-2,HOHESEE_OFFSH3,Hohe_See-Erzeugung3,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0386-W,GOTTESGABE_ERZ,Gottesgabe Erzeugungsanlage,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0387-T,GOTTESGABE_PROD,Gottesgabe Produktion,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0388-Q,ALTTREBBIN_ERZ,Alttrebbin Erzeugung,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0389-N,ALTTREBBIN_PROD,Alttrebbin Produktion,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0390-9,BUCH_GT,HKW Buch Gasturbine,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11W0-0000-0391-6,BUCH_DT,HKW Buch Dampfturbine,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11W0-0000-0392-3,KOEP_GT10,HKW Köpenick GT10,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11W0-0000-0393-0,KOEP_GT20,HKW Köpenick GT20,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11W0-0000-0402-Y,BUCH_STANDORT,HKW Buch Standort,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11W0-0000-0405-P,GM_HKW_DD_REICK,GM HKW Dresden Reick,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0407-J,BWP_RK,Bürgerwindpark Reußenköge GmbH & Co. KG,,,Active,,,,Production Unit,W
11W0-0000-0408-G,AVA-VELSEN-GMBH,Saarbrücken AVA Velsen GmbH Abfallverwertungsanlage,,,Active,,,,Generation,W
11W0-0000-0409-D,HKWD-A,Heizkraftwerk Dieselstraße Block A,,11XEVHALLE-747-Y,Active,,,,Generation Unit,W
11W0-0000-0411-X,HKWD-B,Heizkraftwerk Dieselstraße Block B,,11XEVHALLE-747-Y,Active,,,,Generation Unit,W
11W0-0000-0412-U,HKWD-C,Heizkraftwerk Dieselstraße Block C,,11XEVHALLE-747-Y,Active,,,,Generation Unit,W
11W0-0000-0413-R,GM_HKW_DD_REICK1,GM HKW Dresden Reick Block 1,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0414-O,GUD_SUED,Wolfsburg GuD Süd,,11XVOLKSWAGEN-1T,Active,,,,Generation,W
11W0-0000-0424-K,GM_HKW_DDREICKM1,GM HKW Dresden Reick Motor 1 ,,11XDREWAG------E,Active,,,,Generation,W
